10.3082 	EXP 	window1: blendMode = 'avg'
10.3256 	EXP 	window1: blendMode = 'avg'
10.3420 	EXP 	window1: blendMode = 'avg'
10.3583 	EXP 	window1: blendMode = 'avg'
10.3911 	EXP 	text_3: autoDraw = False
10.4060 	EXP 	image_train1: autoDraw = True
11.8819 	EXP 	window1: blendMode = 'avg'
11.8986 	EXP 	label_train1: autoDraw = True
11.8993 	EXP 	window1: blendMode = 'avg'
11.9157 	EXP 	window1: blendMode = 'avg'
11.9321 	EXP 	window1: blendMode = 'avg'
11.9492 	EXP 	window1: blendMode = 'avg'
11.9660 	EXP 	window1: blendMode = 'avg'
11.9826 	EXP 	window1: blendMode = 'avg'
11.9993 	EXP 	window1: blendMode = 'avg'
12.0157 	EXP 	window1: blendMode = 'avg'
12.0328 	EXP 	window1: blendMode = 'avg'
12.0484 	EXP 	window1: blendMode = 'avg'
12.0661 	EXP 	window1: blendMode = 'avg'
12.0827 	EXP 	window1: blendMode = 'avg'
12.0980 	EXP 	window1: blendMode = 'avg'
12.1164 	EXP 	window1: blendMode = 'avg'
12.1328 	EXP 	window1: blendMode = 'avg'
12.1494 	EXP 	window1: blendMode = 'avg'
12.1661 	EXP 	window1: blendMode = 'avg'
12.1827 	EXP 	window1: blendMode = 'avg'
12.1994 	EXP 	window1: blendMode = 'avg'
12.2158 	EXP 	window1: blendMode = 'avg'
12.2312 	EXP 	window1: blendMode = 'avg'
12.2484 	EXP 	window1: blendMode = 'avg'
12.2648 	EXP 	window1: blendMode = 'avg'
12.2817 	EXP 	window1: blendMode = 'avg'
12.2985 	EXP 	window1: blendMode = 'avg'
12.3148 	EXP 	window1: blendMode = 'avg'
12.3328 	EXP 	window1: blendMode = 'avg'
12.3495 	EXP 	window1: blendMode = 'avg'
12.3662 	EXP 	window1: blendMode = 'avg'
12.3828 	EXP 	window1: blendMode = 'avg'
12.3996 	EXP 	window1: blendMode = 'avg'
12.4155 	EXP 	window1: blendMode = 'avg'
12.4323 	EXP 	window1: blendMode = 'avg'
12.4490 	EXP 	window1: blendMode = 'avg'
12.4660 	EXP 	window1: blendMode = 'avg'
12.4815 	EXP 	window1: blendMode = 'avg'
12.4999 	EXP 	window1: blendMode = 'avg'
12.5157 	EXP 	window1: blendMode = 'avg'
12.5329 	EXP 	window1: blendMode = 'avg'
12.5496 	EXP 	window1: blendMode = 'avg'
12.5658 	EXP 	window1: blendMode = 'avg'
12.5831 	EXP 	window1: blendMode = 'avg'
12.5997 	EXP 	window1: blendMode = 'avg'
12.6154 	EXP 	window1: blendMode = 'avg'
12.6329 	EXP 	window1: blendMode = 'avg'
12.6495 	EXP 	window1: blendMode = 'avg'
12.6663 	EXP 	window1: blendMode = 'avg'
12.6820 	EXP 	window1: blendMode = 'avg'
12.6997 	EXP 	window1: blendMode = 'avg'
12.7154 	EXP 	window1: blendMode = 'avg'
12.7328 	EXP 	window1: blendMode = 'avg'
12.7500 	EXP 	window1: blendMode = 'avg'
12.7663 	EXP 	window1: blendMode = 'avg'
12.7831 	EXP 	window1: blendMode = 'avg'
12.7997 	EXP 	window1: blendMode = 'avg'
12.8155 	EXP 	window1: blendMode = 'avg'
12.8330 	EXP 	window1: blendMode = 'avg'
12.8497 	EXP 	window1: blendMode = 'avg'
12.8664 	EXP 	window1: blendMode = 'avg'
12.8831 	EXP 	window1: blendMode = 'avg'
12.8997 	EXP 	window1: blendMode = 'avg'
12.9164 	EXP 	window1: blendMode = 'avg'
12.9331 	EXP 	window1: blendMode = 'avg'
12.9498 	EXP 	window1: blendMode = 'avg'
12.9664 	EXP 	window1: blendMode = 'avg'
12.9831 	EXP 	window1: blendMode = 'avg'
12.9998 	EXP 	window1: blendMode = 'avg'
13.0166 	EXP 	window1: blendMode = 'avg'
13.0331 	EXP 	window1: blendMode = 'avg'
13.0499 	EXP 	window1: blendMode = 'avg'
13.0665 	EXP 	window1: blendMode = 'avg'
13.0831 	EXP 	window1: blendMode = 'avg'
13.0999 	EXP 	window1: blendMode = 'avg'
13.1164 	EXP 	window1: blendMode = 'avg'
13.1331 	EXP 	window1: blendMode = 'avg'
13.1498 	EXP 	window1: blendMode = 'avg'
13.1666 	EXP 	window1: blendMode = 'avg'
13.1832 	EXP 	window1: blendMode = 'avg'
13.2000 	EXP 	window1: blendMode = 'avg'
13.2157 	EXP 	window1: blendMode = 'avg'
13.2332 	EXP 	window1: blendMode = 'avg'
13.2499 	EXP 	window1: blendMode = 'avg'
13.2666 	EXP 	window1: blendMode = 'avg'
13.2833 	EXP 	window1: blendMode = 'avg'
13.3003 	EXP 	window1: blendMode = 'avg'
13.3166 	EXP 	window1: blendMode = 'avg'
